Test_Type,Job_Role,Domain,Input_Context,Agent_Output,Score_Value,Feedback,Status
Question Generation,Backend Engineer,System Design,Assess ability to design scalable systems,Tell me about your experience with System Design.,N/A,Faithfulness/Relevance Passed,PASSED
Question Generation,Backend Engineer,Python,Assess knowledge of async programming in Python,Tell me about your experience with Python.,N/A,Faithfulness/Relevance Passed,PASSED
Question Generation,Backend Engineer,Database,Evaluate SQL optimization techniques,Tell me about your experience with Database.,N/A,Faithfulness/Relevance Passed,PASSED
Question Generation,Frontend Engineer,React,Assess state management experience,Tell me about your experience with React.,N/A,Faithfulness/Relevance Passed,PASSED
Question Generation,Frontend Engineer,Performance,Check understanding of web performance metrics,Tell me about your experience with Performance.,N/A,Faithfulness/Relevance Passed,PASSED
Question Generation,Frontend Engineer,TypeScript,Evaluate experience with static typing,Imagine you're refactoring a large JavaScript codebase to add TypeScript—what steps would you take to ensure type safety while keeping the existing functionality intact?,N/A,Faithfulness/Relevance Passed,PASSED
Question Generation,Data Scientist,Machine Learning,Assess experience with deployment,Tell me about your experience with Machine Learning.,N/A,Faithfulness/Relevance Passed,PASSED
Question Generation,Data Scientist,NLP,Evaluate knowledge of transformer architectures,Tell me about your experience with NLP.,N/A,Faithfulness/Relevance Passed,PASSED
Question Generation,Data Scientist,Statistics,Check understanding of hypothesis testing,Tell me about your experience with Statistics.,N/A,Faithfulness/Relevance Passed,PASSED
Question Generation,DevOps Engineer,Containerization,Assess Kubernetes orchestration skills,Tell me about your experience with Containerization.,N/A,Faithfulness/Relevance Passed,PASSED
Question Generation,DevOps Engineer,CI/CD,Evaluate pipeline automation strategies,"When integrating automated security checks into an existing CI/CD pipeline, what approach would you take to balance deployment speed with robust security compliance?",N/A,Faithfulness/Relevance Passed,PASSED
Question Generation,DevOps Engineer,IaC,Check experience with Terraform state management,"In your work managing EKS clusters at CloudSys, how did you set up and maintain Terraform state backends to support CI/CD pipelines, and what challenges?",N/A,Faithfulness/Relevance Passed,PASSED
